Kinase_Name	Kinase_Score	Kinase_Pvalue
MAP2K3	-2.76889064614361	0.00281237552567681
MAP2K4	-2.76889064614361	0.00281237552567681
MAP2K6	-2.76889064614361	0.00281237552567681
MAP3K5	-2.76889064614361	0.00281237552567681
MAP3K6	-2.76889064614361	0.00281237552567681
RET	-2.53322999562465	0.00565083855611851
HCK	0.267594717847674	0.394505648640105
PTK6	0.267594717847674	0.394505648640105
SRC	0.267594717847674	0.394505648640105
